Name,Party,Office,Distid,Total from Gun Control,Total From Gun Rights,Gun Control Support,Gun Control Opposed,Gun Rights Support,Gun Rights Opposed,Stateid,Total Funding,Stance,log_grights,log_gcontrol,log_totalfund
"Rutherford, John",Republican,House,FL04,0,5200,0,861,0,0,FL,5200,Rights,8.556606193773073,0.0,8.556606193773073
"Steube, Greg",Republican,House,FL17,0,5000,0,0,0,0,FL,5000,Rights,8.517393171418904,0.0,8.517393171418904
"King, Pete",Republican,House,NY02,3500,4950,0,0,0,1052,NY,8450,Rights,8.507344855361422,8.160803920954665,9.042040056544483
"Clyburn, James E",Democrat,House,SC06,500,4950,0,0,0,388,SC,5450,Rights,8.507344855361422,6.2166061010848646,8.603554357064281
"Taylor, Van",Republican,House,TX03,0,4847,0,0,1703,0,TX,4847,Rights,8.48632152774915,0.0,8.48632152774915
"Gonzalez, Anthony",Republican,House,OH16,0,4800,0,0,942,0,OH,4800,Rights,8.476579508530941,0.0,8.476579508530941
"Johnson, Dusty",Republican,House,SD01,0,4500,0,0,0,0,SD,4500,Rights,8.412054873292933,0.0,8.412054873292933
"Klobuchar, Amy",Democrat,Senate,MNS2,17265,4000,0,0,0,0,MN,21265,Control,8.294299608857235,9.756494528795468,9.964864832211031
"Meuser, Dan",Republican,House,PA09,0,4000,0,0,0,0,PA,4000,Rights,8.294299608857235,0.0,8.294299608857235
"Gooden, Lance",Republican,House,TX05,0,4000,0,0,4504,0,TX,4000,Rights,8.294299608857235,0.0,8.294299608857235
"Miller, Carol",Republican,House,WV03,0,4000,0,0,5985,0,WV,4000,Rights,8.294299608857235,0.0,8.294299608857235
