"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"February 23, 2013",California,Lancaster,"43145 Business Center Parkway",0,4,N/A
"February 22, 2013",Michigan,"Grand Rapids","1447 Grandville Ave. SW",0,4,N/A
"February 21, 2013",Oklahoma,Tulsa,"1200 block of North 89th East Avenue",1,3,N/A
"February 19, 2013",California,"Orange (county)","Katella Avenue",4,3,N/A
"February 12, 2013",Utah,Midvale,"8286 Adams Street and 450 West Street",4,1,N/A
"February 11, 2013",Delaware,Wilmington,"500 North King Street",3,2,N/A
"February 11, 2013",California,Vallejo,"800 block of Humboldt Street",1,4,N/A
"February 9, 2013",Louisiana,"New Orleans","400 block of Bourbon Street",0,4,N/A
"February 7, 2013",Illinois,Chicago,"2500 block of East 75th Street",0,4,N/A
"February 3, 2013",California,"Yuba (county)","5800 block of Poplar Avenue",1,3,N/A
"February 2, 2013",Tennessee,Memphis,"2514 Mount Moriah",0,5,N/A
"January 26, 2013",Ohio,Springfield,"601 West Main Street",1,3,N/A
"January 26, 2013","District of Columbia",Washington,"2403 Benning Road Northeast",0,5,N/A
"January 26, 2013",Louisiana,Charenton,"1000 block of Flat Town Road",2,3,N/A
"January 25, 2013",Missouri,"Saint Louis","W Florissant Ave and Riverview Blvd",1,3,N/A
"January 23, 2013",Tennessee,Chattanooga,"1501 Dodds Ave",1,3,N/A
"January 23, 2013",Maryland,Baltimore,"1500 block of W. Fayette St.",1,6,N/A
"January 21, 2013",California,Brentwood,"1100 block of Breton Drive",0,4,N/A
"January 21, 2013",Louisiana,"New Orleans","LaSalle Street and Martin Luther King Jr. Boulevard",0,5,N/A
"January 19, 2013","New Mexico",Albuquerque,"2806 Long Lane",5,0,N/A
"January 7, 2013",Oklahoma,Tulsa,"6000 block of South Owasso",4,0,N/A
"January 1, 2013",California,Hawthorne,"13500 block of Cerise Avenue",1,3,N/A
"January 1, 2013",Pennsylvania,Mckeesport,"1506 Versailles Avenue and Coursin Street",0,4,N/A
